Ac_No,Age,Years of Experience,Number of Vehicles,Gender,Married,Losses in Thousands,Acct_Open_Dt,Defaulted
108553,21,3,2,F,Single,312.4802515,1/7/2009,1/7/2011
198231,63,43,2,M,Married,58.4202252,1/6/2009,1/6/2011
140751,18,1,2,M,Married,381.394809,1/5/2009,1/5/2011
180052,34,13,2,F,Married,295.7163865,1/4/2009,1/4/2011
168530,40,19,2,M,Married,393.7580921,1/3/2009,1/3/2011
175402,20,1,2,M,Single,1370.142171,1/2/2009,1/2/2011
112009,33,12,2,F,Married,236.7238366,1/1/2009,1/1/2011
167078,30,12,2,F,Single,376.9146316,12/31/2008,12/31/2010
105584,63,44,2,F,Single,359.1195409,12/30/2008,12/30/2010
171808,22,5,2,M,Single,776.2116881,12/29/2008,12/29/2010
125336,60,42,2,F,Single,402.556931,12/28/2008,12/28/2010
104017,65,44,2,M,Married,35.99278088,12/27/2008,12/27/2010
183076,62,42,2,M,Single,180.3825103,12/26/2008,12/26/2010
129305,18,1,2,F,Married,526.0381785,12/25/2008,12/25/2010
178591,18,0,2,F,Married,111.2766466,12/24/2008,12/24/2010
166268,64,45,2,F,Married,26.84437074,12/23/2008,12/23/2010
171938,61,44,2,M,Single,117.5956818,12/22/2008,12/22/2010
119105,46,28,2,M,Married,376.7052751,12/21/2008,12/21/2010
114104,34,17,2,M,Single,395.3699722,12/20/2008,12/20/2010
147170,59,38,2,M,Single,417.9445843,12/19/2008,12/19/2010
174814,68,49,2,F,Single,218.2808394,12/18/2008,12/18/2010
115439,67,46,2,M,Single,342.7898172,12/17/2008,12/17/2010
117449,37,18,2,M,Married,383.5760292,12/16/2008,12/16/2010
161298,21,2,2,F,Single,707.8560154,12/15/2008,12/15/2010
106089,23,5,2,M,Married,436.8418596,12/14/2008,12/14/2010
179563,62,43,2,M,Single,114.2518974,12/13/2008,12/13/2010
106850,19,0,2,M,Married,867.23165,12/12/2008,12/12/2010
196516,19,0,2,F,Married,236.9340245,12/11/2008,12/11/2010
168790,63,45,2,M,Married,333.6016894,12/10/2008,12/10/2010
106417,52,34,2,F,Married,331.644446,12/9/2008,12/9/2010
113208,29,10,2,F,Married,660.0459781,12/8/2008,12/8/2010
137959,25,6,2,M,Single,509.6212314,12/7/2008,12/7/2010
187547,59,40,2,M,Married,355.7809566,12/6/2008,12/6/2010
146373,34,14,2,M,Single,762.1941333,12/5/2008,12/5/2010
143073,33,13,2,M,Single,391.2171737,12/4/2008,12/4/2010
102292,65,48,2,M,Married,308.2452353,12/3/2008,12/3/2010
198566,62,42,2,F,Single,267.284417,12/2/2008,12/2/2010
152113,62,41,2,F,Single,396.007265,12/1/2008,12/1/2010
180525,70,51,2,M,Single,115.9904612,11/30/2008,11/30/2010
151974,34,15,2,F,Single,586.3877207,11/29/2008,11/29/2010
159334,19,0,2,M,Single,659.6831203,11/28/2008,11/28/2010
123218,63,42,2,F,Married,265.7598887,11/27/2008,11/27/2010
197985,27,10,2,F,Married,545.6230918,11/26/2008,11/26/2010
180865,65,48,2,F,Married,123.6650647,11/25/2008,11/25/2010
106615,67,47,2,F,Single,40.95171614,11/24/2008,11/24/2010
148775,19,2,2,M,Married,535.3469827,11/23/2008,11/23/2010
167432,39,20,2,F,Single,740.1509003,11/22/2008,11/22/2010
178650,43,23,2,F,Single,340.2184013,11/21/2008,11/21/2010
177375,68,50,2,M,Single,509.8965713,11/20/2008,11/20/2010
137135,62,41,2,F,Single,285.9760284,11/19/2008,11/19/2010
157572,69,50,2,F,Married,244.1751053,11/18/2008,11/18/2010
182618,66,45,2,M,Single,200.7840003,11/17/2008,11/17/2010
112351,20,2,2,F,Single,179.3510569,11/16/2008,11/16/2010
190118,36,16,2,M,Married,425.862971,11/15/2008,11/15/2010
124820,40,23,2,F,Single,666.9432518,11/14/2008,11/14/2010
172574,67,46,2,M,Married,220.2491894,11/13/2008,11/13/2010
182111,36,17,2,M,Single,697.7882878,11/12/2008,11/12/2010
159432,67,47,2,F,Married,75.60464898,11/11/2008,11/11/2010
135694,67,48,2,F,Married,56.76405585,11/10/2008,11/10/2010
192531,25,8,2,M,Single,638.3443766,11/9/2008,11/9/2010
143832,24,6,2,M,Married,244.2048053,11/8/2008,11/8/2010
187541,44,27,2,F,Married,636.8107252,11/7/2008,11/7/2010
141562,48,29,2,M,Single,420.7400793,11/6/2008,11/6/2010
192994,52,34,2,F,Single,504.1945897,11/5/2008,11/5/2010
155793,65,46,2,F,Single,189.9302495,11/4/2008,11/4/2010
183216,49,29,2,M,Married,351.0978894,11/3/2008,11/3/2010
189606,57,40,2,M,Married,297.269335,11/2/2008,11/2/2010
102751,32,11,2,F,Married,361.4693117,11/1/2008,11/1/2010
186610,42,25,2,F,Married,637.8821118,10/31/2008,10/31/2010
134162,19,1,2,F,Married,257.6636706,10/30/2008,10/30/2010
126006,25,6,2,F,Married,256.9070413,10/29/2008,10/29/2010
123863,53,34,2,F,Single,462.7846202,10/28/2008,10/28/2010
131870,27,9,2,M,Single,506.5426469,10/27/2008,10/27/2010
114356,63,43,2,M,Married,284.5705762,10/26/2008,10/26/2010
146295,68,47,2,F,Single,55.59478521,10/25/2008,10/25/2010
200408,51,30,2,F,Single,392.6467754,10/24/2008,10/24/2010
104097,63,46,2,M,Married,110.2380746,10/23/2008,10/23/2010
112616,55,36,2,F,Single,439.1418913,10/22/2008,10/22/2010
191980,18,1,2,M,Married,502.3279723,10/21/2008,10/21/2010
132179,37,19,2,M,Single,538.0641605,10/20/2008,10/20/2010
149219,61,41,2,F,Single,266.1838957,10/19/2008,10/19/2010
151902,51,31,2,F,Married,366.1772033,10/18/2008,10/18/2010
111270,16,0,2,F,Married,169.6975258,10/17/2008,10/17/2010
115338,60,43,2,M,Single,18.07329299,10/16/2008,10/16/2010
142545,22,5,2,M,Single,444.9877384,10/15/2008,10/15/2010
190369,16,0,2,F,Married,421.608874,10/14/2008,10/14/2010
133641,31,12,2,F,Married,295.3917924,10/13/2008,10/13/2010
163073,33,13,2,F,Single,398.6037432,10/12/2008,10/12/2010
127342,33,14,2,M,Single,444.4745895,10/11/2008,10/11/2010
109348,19,2,2,F,Married,264.520156,10/10/2008,10/10/2010
159681,46,27,2,M,Married,613.432478,10/9/2008,10/9/2010
190541,62,42,2,M,Married,60.42093258,10/8/2008,10/8/2010
196558,65,46,2,M,Married,213.8189643,10/7/2008,10/7/2010
161611,63,42,2,F,Single,124.4352468,10/6/2008,10/6/2010
163533,55,35,2,F,Single,952.4488681,10/5/2008,10/5/2010
144530,48,28,2,M,Single,563.4226944,10/4/2008,10/4/2010
176073,61,41,2,F,Single,273.5220197,10/3/2008,10/3/2010
117941,45,27,2,M,Single,168.4427657,10/2/2008,10/2/2010
186532,22,3,2,M,Married,1193.282553,10/1/2008,10/1/2010
166667,61,44,2,M,Married,342.8013707,9/30/2008,9/30/2010
157636,25,6,2,F,Single,292.5574174,9/29/2008,9/29/2010
198976,70,53,2,F,Single,216.5357324,9/28/2008,9/28/2010
140249,18,0,2,F,Married,488.5919464,9/27/2008,9/27/2010
132985,22,4,2,M,Single,1030.454301,9/26/2008,9/26/2010
178693,62,43,2,F,Married,30.17443424,9/25/2008,9/25/2010
137811,52,32,2,M,Single,223.683626,9/24/2008,9/24/2010
176375,45,25,2,F,Single,861.7152966,9/23/2008,9/23/2010
152224,21,2,2,M,Single,789.4779955,9/22/2008,9/22/2010
139612,27,8,2,F,Single,409.6832917,9/21/2008,9/21/2010
128099,63,43,2,M,Married,133.8021934,9/20/2008,9/20/2010
155866,45,28,2,F,Married,322.3281216,9/19/2008,9/19/2010
163488,64,44,2,M,Married,69.10484034,9/18/2008,9/18/2010
110255,49,32,2,F,Married,327.5916895,9/17/2008,9/17/2010
109423,64,46,2,M,Single,98.82646966,9/16/2008,9/16/2010
198204,24,5,2,F,Single,294.5121624,9/15/2008,9/15/2010
192431,34,17,2,F,Married,372.2736021,9/14/2008,9/14/2010
132865,18,0,2,M,Single,1026.325173,9/13/2008,9/13/2010
155098,53,35,2,M,Single,831.8201575,9/12/2008,9/12/2010
138717,22,3,2,M,Married,556.4903536,9/11/2008,9/11/2010
166318,23,6,2,F,Married,442.0467628,9/10/2008,9/10/2010
110472,39,22,2,M,Single,415.0274743,9/9/2008,9/9/2010
150283,25,7,2,F,Married,436.6690835,9/8/2008,9/8/2010
105748,40,19,2,M,Married,341.0328439,9/7/2008,9/7/2010
193214,65,47,2,F,Single,238.9766815,9/6/2008,9/6/2010
113853,67,46,2,F,Married,106.9446878,9/5/2008,9/5/2010
127083,45,26,2,F,Married,308.4056167,9/4/2008,9/4/2010
152934,64,45,2,M,Single,584.73356,9/3/2008,9/3/2010
133678,64,47,2,M,Single,289.2225933,9/2/2008,9/2/2010
192105,69,50,2,M,Married,70.4133616,9/1/2008,9/1/2010
165279,19,1,2,F,Single,246.9395067,8/31/2008,8/31/2010
158957,43,23,2,F,Single,307.2698672,8/30/2008,8/30/2010
155112,24,5,2,M,Married,695.6235802,8/29/2008,8/29/2010
196576,17,0,2,F,Married,333.0102117,8/28/2008,8/28/2010
176379,59,38,2,M,Married,224.6655498,8/27/2008,8/27/2010
133354,22,5,2,M,Married,615.4151608,8/26/2008,8/26/2010
138557,18,0,2,F,Married,250.9612776,8/25/2008,8/25/2010
164206,64,47,2,M,Single,469.211976,8/24/2008,8/24/2010
125978,20,3,2,M,Married,648.0153159,8/23/2008,8/23/2010
197638,57,39,2,M,Single,437.2575179,8/22/2008,8/22/2010
190503,37,19,2,F,Married,661.6002501,8/21/2008,8/21/2010
154026,19,2,2,M,Married,610.6187313,8/20/2008,8/20/2010
148948,64,45,2,M,Single,552.5432092,8/19/2008,8/19/2010
142852,41,24,2,F,Married,308.0973519,8/18/2008,8/18/2010
102046,25,8,2,M,Single,614.7198868,8/17/2008,8/17/2010
179527,22,4,2,M,Married,420.0226607,8/16/2008,8/16/2010
122816,61,44,2,F,Married,36.41245947,8/15/2008,8/15/2010
173157,34,16,2,M,Married,686.6682312,8/14/2008,8/14/2010
194931,18,0,2,M,Married,779.3561103,8/13/2008,8/13/2010
145174,43,25,2,M,Married,363.4525324,8/12/2008,8/12/2010
171848,18,0,2,F,Married,271.6989729,8/11/2008,8/11/2010
108633,49,32,2,F,Married,319.2959212,8/10/2008,8/10/2010
128931,58,37,2,M,Single,603.0673537,8/9/2008,8/9/2010
145434,65,46,2,M,Single,103.3600888,8/8/2008,8/8/2010
122518,37,17,2,M,Single,440.5955997,8/7/2008,8/7/2010
110704,24,5,2,F,Single,820.8498927,8/6/2008,8/6/2010
132002,18,0,2,F,Married,189.7144759,8/5/2008,8/5/2010
145289,17,0,2,M,Married,202.2061182,8/4/2008,8/4/2010
119624,64,46,2,M,Single,423.1791916,8/3/2008,8/3/2010
132759,22,3,2,M,Married,1151.615653,8/2/2008,8/2/2010
196969,63,45,2,M,Single,459.8051617,8/1/2008,8/1/2010
162261,53,33,2,M,Single,428.262359,7/31/2008,7/31/2010
119200,68,51,2,F,Single,135.8270226,7/30/2008,7/30/2010
168185,16,0,2,F,Married,495.2585145,7/29/2008,7/29/2010
145847,51,30,2,M,Single,386.4362948,7/28/2008,7/28/2010
149450,47,26,2,F,Married,379.0807708,7/27/2008,7/27/2010
181298,65,47,2,F,Married,319.996219,7/26/2008,7/26/2010
103382,54,33,2,M,Single,452.9083255,7/25/2008,7/25/2010
113221,61,40,2,F,Married,92.74831323,7/24/2008,7/24/2010
139878,65,48,2,M,Married,284.5806468,7/23/2008,7/23/2010
144164,31,11,2,F,Single,286.8740409,7/22/2008,7/22/2010
157407,18,0,2,M,Single,1189.577654,7/21/2008,7/21/2010
161076,58,37,2,F,Married,135.8263113,7/20/2008,7/20/2010
190618,27,7,2,M,Single,440.158269,7/19/2008,7/19/2010
152444,20,1,2,F,Single,480.0008503,7/18/2008,7/18/2010
170919,32,11,2,F,Single,367.69469,7/17/2008,7/17/2010
120726,60,43,2,M,Single,59.48996052,7/16/2008,7/16/2010
160641,70,52,2,M,Single,228.1268705,7/15/2008,7/15/2010
168165,16,0,2,F,Married,338.1644742,7/14/2008,7/14/2010
177828,44,27,2,F,Single,405.1558956,7/13/2008,7/13/2010
173908,18,0,2,M,Single,1071.895675,7/12/2008,7/12/2010
106595,68,50,2,F,Married,167.0878234,7/11/2008,7/11/2010
153843,25,8,2,M,Married,123.9473868,7/10/2008,7/10/2010
102406,33,14,2,F,Single,675.8074022,7/9/2008,7/9/2010
175068,20,3,2,F,Single,681.5311064,7/8/2008,7/8/2010
148222,66,46,2,M,Single,120.7814513,7/7/2008,7/7/2010
179135,67,50,2,M,Single,81.92175004,7/6/2008,7/6/2010
144030,17,0,2,F,Married,132.3798915,7/5/2008,7/5/2010
174967,64,44,2,F,Married,297.0548993,7/4/2008,7/4/2010
110744,69,51,2,F,Married,96.32803426,7/3/2008,7/3/2010
185158,31,13,2,M,Single,729.2347634,7/2/2008,7/2/2010
103695,63,42,2,F,Single,184.9471341,7/1/2008,7/1/2010
178344,17,0,2,F,Single,269.2318208,6/30/2008,6/30/2010
189263,54,34,2,M,Married,308.8783677,6/29/2008,6/29/2010
110617,68,51,2,M,Single,69.87144406,6/28/2008,6/28/2010
145564,25,6,2,F,Married,251.0376094,6/27/2008,6/27/2010
120285,53,35,2,M,Single,474.9232008,6/26/2008,6/26/2010
183210,46,29,2,M,Married,740.3524966,6/25/2008,6/25/2010
127251,62,41,2,F,Married,294.4686241,6/24/2008,6/24/2010
137680,24,7,2,M,Married,491.8858119,6/23/2008,6/23/2010
191921,65,45,2,F,Single,234.7325107,6/22/2008,6/22/2010
127602,16,0,2,F,Single,639.3834022,6/21/2008,6/21/2010
117078,30,11,2,M,Single,396.8697556,6/20/2008,6/20/2010
151780,61,41,2,F,Single,177.7606627,6/19/2008,6/19/2010
107692,67,48,2,M,Single,699.1471439,6/18/2008,6/18/2010
171625,67,49,2,F,Married,174.9818267,6/17/2008,6/17/2010
125014,61,43,2,M,Single,402.5741106,6/16/2008,6/16/2010
170128,20,1,2,M,Married,565.7705528,6/15/2008,6/15/2010
101165,34,16,2,F,Single,436.1101317,6/14/2008,6/14/2010
157666,66,49,2,F,Married,285.9494897,6/13/2008,6/13/2010
171216,30,12,2,M,Single,349.1487161,6/12/2008,6/12/2010
134074,25,8,2,F,Married,258.95265,6/11/2008,6/11/2010
163563,29,10,2,M,Married,322.1484453,6/10/2008,6/10/2010
126252,68,51,2,F,Single,388.1607412,6/9/2008,6/9/2010
162083,18,0,2,M,Married,332.2094764,6/8/2008,6/8/2010
185536,23,6,2,F,Married,261.7516407,6/7/2008,6/7/2010
131622,61,43,2,F,Married,109.5964897,6/6/2008,6/6/2010
170260,17,0,2,F,Single,731.3380755,6/5/2008,6/5/2010
132805,69,51,2,F,Single,372.345364,6/4/2008,6/4/2010
148302,17,0,2,M,Married,663.8869849,6/3/2008,6/3/2010
119153,63,43,2,M,Single,301.6389251,6/2/2008,6/2/2010
154679,46,29,2,F,Single,404.0795519,6/1/2008,6/1/2010
153821,51,31,2,F,Single,308.7935312,5/31/2008,5/31/2010
181285,40,19,2,M,Married,398.0874134,5/30/2008,5/30/2010
160813,36,19,2,M,Married,318.751178,5/29/2008,5/29/2010
195939,31,10,2,M,Single,347.2765155,5/28/2008,5/28/2010
165484,44,25,2,M,Married,341.1858165,5/27/2008,5/27/2010
111323,61,43,2,F,Single,390.3536993,5/26/2008,5/26/2010
146046,41,21,2,F,Single,421.7293981,5/25/2008,5/25/2010
175149,70,50,2,F,Single,390.0849495,5/24/2008,5/24/2010
189685,63,43,2,F,Married,117.5557386,5/23/2008,5/23/2010
115872,18,0,2,F,Single,695.1091588,5/22/2008,5/22/2010
183397,67,49,2,F,Married,207.7536776,5/21/2008,5/21/2010
188043,68,47,2,F,Married,168.1164938,5/20/2008,5/20/2010
109129,31,10,2,F,Single,137.3592826,5/19/2008,5/19/2010
134676,46,29,2,M,Single,535.2924095,5/18/2008,5/18/2010
110604,58,39,2,M,Single,473.3205102,5/17/2008,5/17/2010
174281,57,36,2,M,Single,924.9965684,5/16/2008,5/16/2010
198008,25,7,2,M,Married,305.0281605,5/15/2008,5/15/2010
184666,42,23,2,F,Single,341.5910745,5/14/2008,5/14/2010
106413,60,41,2,F,Single,296.6977344,5/13/2008,5/13/2010
170229,30,10,2,M,Married,631.7516049,5/12/2008,5/12/2010
113670,50,32,2,M,Single,788.0825102,5/11/2008,5/11/2010
136995,65,45,2,F,Married,174.7134006,5/10/2008,5/10/2010
139096,21,4,2,F,Married,170.4990327,5/9/2008,5/9/2010
158773,33,15,2,M,Single,270.3458042,5/8/2008,5/8/2010
127590,61,43,2,F,Single,389.4722314,5/7/2008,5/7/2010
108668,49,31,2,M,Single,360.4891664,5/6/2008,5/6/2010
102413,69,51,2,M,Single,274.4210471,5/5/2008,5/5/2010
183569,69,51,2,F,Single,54.54551587,5/4/2008,5/4/2010
164279,57,37,2,M,Single,152.0623207,5/3/2008,5/3/2010
162062,64,45,2,M,Single,524.356007,5/2/2008,5/2/2010
152304,68,48,2,M,Married,172.1532142,5/1/2008,5/1/2010
158175,61,44,2,F,Married,123.1137754,4/30/2008,4/30/2010
199174,25,7,2,F,Single,857.9935307,4/29/2008,4/29/2010
102999,19,0,2,F,Married,469.2722573,4/28/2008,4/28/2010
139580,27,8,2,M,Married,424.3758894,4/27/2008,4/27/2010
153050,47,26,2,M,Married,357.0108591,4/26/2008,4/26/2010
100377,17,0,2,M,Married,477.0562697,4/25/2008,4/25/2010
158972,55,34,2,F,Married,602.9165094,4/24/2008,4/24/2010
189545,50,33,2,F,Single,652.433378,4/23/2008,4/23/2010
141866,60,40,2,M,Married,100.1397243,4/22/2008,4/22/2010
143303,20,1,2,M,Single,1092.721727,4/21/2008,4/21/2010
136782,25,6,2,M,Single,981.002503,4/20/2008,4/20/2010
116143,42,23,2,M,Single,461.4186021,4/19/2008,4/19/2010
106931,24,7,2,F,Married,256.3592184,4/18/2008,4/18/2010
118998,66,46,2,M,Single,236.1840765,4/17/2008,4/17/2010
180655,49,30,2,M,Married,226.7195827,4/16/2008,4/16/2010
143239,21,2,2,M,Single,556.8865116,4/15/2008,4/15/2010
177299,62,41,2,F,Married,283.0600948,4/14/2008,4/14/2010
181569,63,45,2,M,Married,74.96116919,4/13/2008,4/13/2010
120846,69,51,2,F,Single,340.7535528,4/12/2008,4/12/2010
171130,69,49,2,F,Single,159.6179518,4/11/2008,4/11/2010
175108,49,32,2,F,Single,468.2818545,4/10/2008,4/10/2010
128670,54,37,2,F,Single,366.2778176,4/9/2008,4/9/2010
149670,16,0,2,M,Married,396.9247136,4/8/2008,4/8/2010
186451,61,40,2,F,Single,141.0243744,4/7/2008,4/7/2010
172940,41,23,2,M,Married,398.3501109,4/6/2008,4/6/2010
110194,19,2,2,M,Married,244.748224,4/5/2008,4/5/2010
120888,41,23,2,F,Single,316.6019221,4/4/2008,4/4/2010
122190,63,46,2,M,Married,200.5488273,4/3/2008,4/3/2010
174974,64,47,2,F,Married,141.9896861,4/2/2008,4/2/2010
119461,39,22,2,M,Married,267.2414317,4/1/2008,4/1/2010
153809,66,48,2,M,Married,170.0476499,3/31/2008,3/31/2010
113303,67,50,2,F,Married,132.6744557,3/30/2008,3/30/2010
119743,20,3,2,F,Single,496.3034295,3/29/2008,3/29/2010
165436,56,38,2,F,Single,419.3565651,3/28/2008,3/28/2010
198995,31,10,2,F,Married,291.3184574,3/27/2008,3/27/2010
129986,25,6,2,M,Married,245.3725447,3/26/2008,3/26/2010
177809,22,5,2,F,Married,278.5209343,3/25/2008,3/25/2010
148944,39,22,2,M,Single,185.2458451,3/24/2008,3/24/2010
145650,40,19,2,F,Married,380.4858605,3/23/2008,3/23/2010
181771,52,32,2,M,Married,529.7386863,3/22/2008,3/22/2010
133600,34,13,2,F,Married,289.2435646,3/21/2008,3/21/2010
176201,36,16,2,M,Single,738.4086177,3/20/2008,3/20/2010
172363,64,45,2,M,Married,337.7526133,3/19/2008,3/19/2010
117028,22,3,2,M,Married,194.0060904,3/18/2008,3/18/2010
158306,23,6,2,M,Married,521.9025364,3/17/2008,3/17/2010
128033,63,43,2,F,Single,665.2165102,3/16/2008,3/16/2010
164819,32,11,2,M,Married,370.4949476,3/15/2008,3/15/2010
196584,25,7,2,F,Single,350.0970634,3/14/2008,3/14/2010
177506,61,42,2,F,Single,187.5365645,3/13/2008,3/13/2010
189749,60,42,2,M,Single,240.0642337,3/12/2008,3/12/2010
143882,33,14,2,M,Single,387.8970548,3/11/2008,3/11/2010
175202,44,23,2,M,Single,354.5241248,3/10/2008,3/10/2010
166336,36,18,2,F,Single,477.2749712,3/9/2008,3/9/2010
188162,34,14,2,F,Married,334.4126622,3/8/2008,3/8/2010
113983,50,33,2,F,Married,422.1836566,3/7/2008,3/7/2010
122442,19,1,2,F,Married,184.7519116,3/6/2008,3/6/2010
151490,25,7,2,F,Single,305.8109081,3/5/2008,3/5/2010
140119,64,43,2,M,Married,213.5175971,3/4/2008,3/4/2010
126838,20,3,2,M,Married,347.0277294,3/3/2008,3/3/2010
104920,59,38,2,M,Single,494.465162,3/2/2008,3/2/2010
101476,30,12,2,M,Single,472.8663498,3/1/2008,3/1/2010
119658,33,16,2,M,Single,509.6045066,2/29/2008,2/28/2010
105133,59,40,2,F,Single,246.3331978,2/28/2008,2/28/2010
104707,66,48,2,F,Single,59.24822739,2/27/2008,2/27/2010
100174,67,49,2,F,Single,455.5473483,2/26/2008,2/26/2010
193872,65,47,2,M,Married,141.6715803,2/25/2008,2/25/2010
150806,28,9,2,F,Married,319.5596127,2/24/2008,2/24/2010
106273,31,10,2,F,Married,312.4465176,2/23/2008,2/23/2010
196695,18,0,2,M,Single,516.6607639,2/22/2008,2/22/2010
141507,62,43,2,F,Married,200.5838031,2/21/2008,2/21/2010
132910,17,0,2,F,Married,455.3669137,2/20/2008,2/20/2010
183760,63,45,2,M,Single,236.0096439,2/19/2008,2/19/2010
197791,62,44,2,M,Married,214.3062182,2/18/2008,2/18/2010
106322,17,0,2,F,Married,163.4888262,2/17/2008,2/17/2010
171816,70,50,2,M,Single,16.55863596,2/16/2008,2/16/2010
112035,67,47,2,M,Married,221.5763437,2/15/2008,2/15/2010
127222,30,12,2,F,Married,509.4519769,2/14/2008,2/14/2010
191825,66,49,2,M,Married,175.8884718,2/13/2008,2/13/2010
127747,53,33,2,M,Single,490.6586864,2/12/2008,2/12/2010
185559,30,10,2,F,Single,417.6042699,2/11/2008,2/11/2010
112707,19,0,2,F,Single,186.4975253,2/10/2008,2/10/2010
192402,51,33,2,M,Single,525.1884374,2/9/2008,2/9/2010
149049,16,0,2,F,Single,863.5664988,2/8/2008,2/8/2010
171324,16,0,2,F,Single,434.3302549,2/7/2008,2/7/2010
166328,56,37,2,M,Single,602.3317886,2/6/2008,2/6/2010
118428,56,38,2,M,Married,335.2309377,2/5/2008,2/5/2010
140198,25,6,2,F,Married,285.7204047,2/4/2008,2/4/2010
173538,22,5,2,M,Married,574.688578,2/3/2008,2/3/2010
132425,20,1,2,F,Single,329.4951415,2/2/2008,2/2/2010
144427,55,36,2,F,Single,394.2260359,2/1/2008,2/1/2010
174792,53,34,2,F,Single,405.5257902,1/31/2008,1/31/2010
149254,60,40,2,F,Single,320.4630531,1/30/2008,1/30/2010
167677,63,45,2,M,Married,337.1433254,1/29/2008,1/29/2010
140821,46,29,2,F,Married,473.0895948,1/28/2008,1/28/2010
159180,23,5,2,M,Single,709.7052299,1/27/2008,1/27/2010
123041,63,44,2,M,Married,110.9730614,1/26/2008,1/26/2010
182645,54,35,2,M,Single,417.4354139,1/25/2008,1/25/2010
100442,70,52,2,M,Single,350.0212837,1/24/2008,1/24/2010
171269,70,53,2,M,Married,50.65198172,1/23/2008,1/23/2010
172144,53,33,2,F,Single,325.810068,1/22/2008,1/22/2010
185300,19,2,2,M,Married,243.4427274,1/21/2008,1/21/2010
149488,53,33,2,F,Married,296.877291,1/20/2008,1/20/2010
146724,62,43,2,F,Married,98.25327356,1/19/2008,1/19/2010
138708,35,18,2,M,Married,401.7803639,1/18/2008,1/18/2010
103414,49,28,2,F,Single,376.1090335,1/17/2008,1/17/2010
159099,70,52,2,M,Married,140.6283107,1/16/2008,1/16/2010
169509,65,48,2,M,Single,435.6436387,1/15/2008,1/15/2010
177869,20,1,2,M,Single,1286.089237,1/14/2008,1/14/2010
175375,19,2,2,M,Single,1041.495458,1/13/2008,1/13/2010
116273,64,47,2,M,Single,48.20137783,1/12/2008,1/12/2010
188180,42,24,2,F,Single,690.3977415,1/11/2008,1/11/2010
120634,25,8,2,F,Single,208.4650989,1/10/2008,1/10/2010
179303,16,0,2,M,Married,395.3114021,1/9/2008,1/9/2010
135471,56,36,2,F,Married,227.967879,1/8/2008,1/8/2010
171632,70,51,2,M,Single,168.8770652,1/7/2008,1/7/2010
105456,16,0,2,F,Single,412.5500186,1/6/2008,1/6/2010
167577,37,19,2,F,Married,598.5651052,1/5/2008,1/5/2010
135704,48,29,2,F,Single,425.7026245,1/4/2008,1/4/2010
188343,31,14,2,M,Married,474.1045373,1/3/2008,1/3/2010
170043,52,32,2,F,Single,323.8725235,1/2/2008,1/2/2010
109240,33,16,2,M,Single,635.3621555,1/1/2008,1/1/2010
179586,52,34,2,M,Single,368.4395827,12/31/2007,12/31/2009
129230,51,30,2,F,Single,701.7325782,12/30/2007,12/30/2009
129584,24,7,2,F,Single,623.1690893,12/29/2007,12/29/2009
169733,31,13,2,F,Single,377.7105445,12/28/2007,12/28/2009
188548,30,9,2,F,Single,455.0550828,12/27/2007,12/27/2009
175284,68,49,2,F,Single,43.40882502,12/26/2007,12/26/2009
134743,69,49,2,M,Single,229.1536957,12/25/2007,12/25/2009
195304,58,38,2,M,Married,323.152546,12/24/2007,12/24/2009
148191,65,48,2,F,Single,111.3605932,12/23/2007,12/23/2009
139104,63,43,2,F,Single,18.39388561,12/22/2007,12/22/2009
194121,66,45,2,F,Married,153.7567657,12/21/2007,12/21/2009
175191,28,8,2,M,Married,360.5535877,12/20/2007,12/20/2009
167093,32,13,2,F,Married,602.9203731,12/19/2007,12/19/2009
175752,66,49,2,F,Married,231.7778468,12/18/2007,12/18/2009
101468,46,26,2,F,Married,217.5709589,12/17/2007,12/17/2009
186696,63,43,2,F,Married,235.020936,12/16/2007,12/16/2009
131607,28,8,2,F,Single,473.2256212,12/15/2007,12/15/2009
154215,67,46,2,M,Married,338.9769113,12/14/2007,12/14/2009
141578,43,23,2,F,Married,390.9438171,12/13/2007,12/13/2009
191637,16,0,2,F,Single,358.8569449,12/12/2007,12/12/2009
158249,38,20,2,M,Married,513.4092655,12/11/2007,12/11/2009
165495,56,39,2,M,Single,504.3038973,12/10/2007,12/10/2009
144978,69,52,2,M,Married,117.261906,12/9/2007,12/9/2009
106788,47,28,2,M,Married,518.3633147,12/8/2007,12/8/2009
159207,62,43,2,F,Married,17.62387915,12/7/2007,12/7/2009
164082,25,8,2,F,Married,218.1612906,12/6/2007,12/6/2009
187420,22,4,2,F,Married,387.2199773,12/5/2007,12/5/2009
182370,31,14,2,F,Single,429.6450408,12/4/2007,12/4/2009
181759,19,0,2,F,Single,283.2421494,12/3/2007,12/3/2009
183339,64,43,2,F,Married,205.2059665,12/2/2007,12/2/2009
160704,64,45,2,M,Single,358.3010608,12/1/2007,12/1/2009
181125,65,47,2,M,Married,354.2202083,11/30/2007,11/30/2009
158744,17,0,2,M,Married,488.2250123,11/29/2007,11/29/2009
154742,38,21,2,F,Married,316.5019388,11/28/2007,11/28/2009
164014,38,20,2,F,Married,182.2446094,11/27/2007,11/27/2009
186464,60,43,2,F,Single,317.6100662,11/26/2007,11/26/2009
154024,33,12,2,F,Single,237.228971,11/25/2007,11/25/2009
123118,17,0,2,M,Single,1322.743329,11/24/2007,11/24/2009
